group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day1 - part1 - full,,,,,1079100.0,ns,9
day1 - part1 - full,,,,,2119200.0,ns,18
day1 - part1 - full,,,,,3269800.0,ns,27
day1 - part1 - full,,,,,4399400.0,ns,36
day1 - part1 - full,,,,,5636800.0,ns,45
day1 - part1 - full,,,,,6553000.0,ns,54
day1 - part1 - full,,,,,7914100.0,ns,63
day1 - part1 - full,,,,,8781000.0,ns,72
day1 - part1 - full,,,,,9909800.0,ns,81
day1 - part1 - full,,,,,10946000.0,ns,90
day1 - part1 - full,,,,,12235900.0,ns,99
day1 - part1 - full,,,,,13210300.0,ns,108
day1 - part1 - full,,,,,14266700.0,ns,117
day1 - part1 - full,,,,,15189200.0,ns,126
day1 - part1 - full,,,,,16474600.0,ns,135
day1 - part1 - full,,,,,17840500.0,ns,144
day1 - part1 - full,,,,,18812300.0,ns,153
day1 - part1 - full,,,,,19929400.0,ns,162
day1 - part1 - full,,,,,21020400.0,ns,171
day1 - part1 - full,,,,,21812900.0,ns,180
day1 - part1 - full,,,,,22896600.0,ns,189
day1 - part1 - full,,,,,25118900.0,ns,198
day1 - part1 - full,,,,,25638400.0,ns,207
day1 - part1 - full,,,,,26698300.0,ns,216
day1 - part1 - full,,,,,27330000.0,ns,225
day1 - part1 - full,,,,,27887600.0,ns,234
day1 - part1 - full,,,,,28834800.0,ns,243
day1 - part1 - full,,,,,30041900.0,ns,252
day1 - part1 - full,,,,,31130600.0,ns,261
day1 - part1 - full,,,,,32365900.0,ns,270
day1 - part1 - full,,,,,33761600.0,ns,279
day1 - part1 - full,,,,,35262700.0,ns,288
day1 - part1 - full,,,,,36557500.0,ns,297
day1 - part1 - full,,,,,37117500.0,ns,306
day1 - part1 - full,,,,,38301600.0,ns,315
day1 - part1 - full,,,,,39403200.0,ns,324
day1 - part1 - full,,,,,40535600.0,ns,333
day1 - part1 - full,,,,,40764500.0,ns,342
day1 - part1 - full,,,,,41760600.0,ns,351
day1 - part1 - full,,,,,43344100.0,ns,360
day1 - part1 - full,,,,,43992000.0,ns,369
day1 - part1 - full,,,,,44845500.0,ns,378
day1 - part1 - full,,,,,45967500.0,ns,387
day1 - part1 - full,,,,,47154100.0,ns,396
day1 - part1 - full,,,,,48473200.0,ns,405
day1 - part1 - full,,,,,49737100.0,ns,414
day1 - part1 - full,,,,,50626300.0,ns,423
day1 - part1 - full,,,,,52786000.0,ns,432
day1 - part1 - full,,,,,55341800.0,ns,441
day1 - part1 - full,,,,,55959800.0,ns,450
day1 - part1 - full,,,,,55324500.0,ns,459
day1 - part1 - full,,,,,57626800.0,ns,468
day1 - part1 - full,,,,,57759500.0,ns,477
day1 - part1 - full,,,,,58288000.0,ns,486
day1 - part1 - full,,,,,59102600.0,ns,495
day1 - part1 - full,,,,,60300300.0,ns,504
day1 - part1 - full,,,,,62840300.0,ns,513
day1 - part1 - full,,,,,62579400.0,ns,522
day1 - part1 - full,,,,,64640600.0,ns,531
day1 - part1 - full,,,,,65373200.0,ns,540
day1 - part1 - full,,,,,66347900.0,ns,549
day1 - part1 - full,,,,,67917100.0,ns,558
day1 - part1 - full,,,,,68713100.0,ns,567
day1 - part1 - full,,,,,69108100.0,ns,576
day1 - part1 - full,,,,,70097400.0,ns,585
day1 - part1 - full,,,,,72501800.0,ns,594
day1 - part1 - full,,,,,73555700.0,ns,603
day1 - part1 - full,,,,,74178800.0,ns,612
day1 - part1 - full,,,,,77099000.0,ns,621
day1 - part1 - full,,,,,77277400.0,ns,630
day1 - part1 - full,,,,,79469400.0,ns,639
day1 - part1 - full,,,,,84105600.0,ns,648
day1 - part1 - full,,,,,82380400.0,ns,657
day1 - part1 - full,,,,,80971200.0,ns,666
day1 - part1 - full,,,,,83147400.0,ns,675
day1 - part1 - full,,,,,83774200.0,ns,684
day1 - part1 - full,,,,,82706900.0,ns,693
day1 - part1 - full,,,,,83380800.0,ns,702
day1 - part1 - full,,,,,84460400.0,ns,711
day1 - part1 - full,,,,,86148100.0,ns,720
day1 - part1 - full,,,,,87437300.0,ns,729
day1 - part1 - full,,,,,88426500.0,ns,738
day1 - part1 - full,,,,,90724900.0,ns,747
day1 - part1 - full,,,,,90752900.0,ns,756
day1 - part1 - full,,,,,92493800.0,ns,765
day1 - part1 - full,,,,,92762500.0,ns,774
day1 - part1 - full,,,,,93459400.0,ns,783
day1 - part1 - full,,,,,93877600.0,ns,792
day1 - part1 - full,,,,,94931500.0,ns,801
day1 - part1 - full,,,,,96281600.0,ns,810
day1 - part1 - full,,,,,98584700.0,ns,819
day1 - part1 - full,,,,,99176800.0,ns,828
day1 - part1 - full,,,,,99343200.0,ns,837
day1 - part1 - full,,,,,101170300.0,ns,846
day1 - part1 - full,,,,,102533200.0,ns,855
day1 - part1 - full,,,,,103149900.0,ns,864
day1 - part1 - full,,,,,104120800.0,ns,873
day1 - part1 - full,,,,,107032200.0,ns,882
day1 - part1 - full,,,,,108365300.0,ns,891
day1 - part1 - full,,,,,108516800.0,ns,900
