group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day1 - part1 - full,,,,,1058600.0,ns,9
day1 - part1 - full,,,,,2105300.0,ns,18
day1 - part1 - full,,,,,3182400.0,ns,27
day1 - part1 - full,,,,,4217200.0,ns,36
day1 - part1 - full,,,,,5351400.0,ns,45
day1 - part1 - full,,,,,6271400.0,ns,54
day1 - part1 - full,,,,,7407500.0,ns,63
day1 - part1 - full,,,,,8412500.0,ns,72
day1 - part1 - full,,,,,9632700.0,ns,81
day1 - part1 - full,,,,,10673300.0,ns,90
day1 - part1 - full,,,,,11720200.0,ns,99
day1 - part1 - full,,,,,12749800.0,ns,108
day1 - part1 - full,,,,,13801700.0,ns,117
day1 - part1 - full,,,,,14796700.0,ns,126
day1 - part1 - full,,,,,15806500.0,ns,135
day1 - part1 - full,,,,,16998100.0,ns,144
day1 - part1 - full,,,,,18113900.0,ns,153
day1 - part1 - full,,,,,19213400.0,ns,162
day1 - part1 - full,,,,,20088500.0,ns,171
day1 - part1 - full,,,,,21110100.0,ns,180
day1 - part1 - full,,,,,22056300.0,ns,189
day1 - part1 - full,,,,,23257300.0,ns,198
day1 - part1 - full,,,,,24405700.0,ns,207
day1 - part1 - full,,,,,25328000.0,ns,216
day1 - part1 - full,,,,,26545000.0,ns,225
day1 - part1 - full,,,,,27717600.0,ns,234
day1 - part1 - full,,,,,29484400.0,ns,243
day1 - part1 - full,,,,,29941500.0,ns,252
day1 - part1 - full,,,,,31071400.0,ns,261
day1 - part1 - full,,,,,32049100.0,ns,270
day1 - part1 - full,,,,,33547100.0,ns,279
day1 - part1 - full,,,,,34132800.0,ns,288
day1 - part1 - full,,,,,35296400.0,ns,297
day1 - part1 - full,,,,,35788600.0,ns,306
day1 - part1 - full,,,,,36897600.0,ns,315
day1 - part1 - full,,,,,37831800.0,ns,324
day1 - part1 - full,,,,,38851100.0,ns,333
day1 - part1 - full,,,,,40531800.0,ns,342
day1 - part1 - full,,,,,41484900.0,ns,351
day1 - part1 - full,,,,,42628700.0,ns,360
day1 - part1 - full,,,,,43385900.0,ns,369
day1 - part1 - full,,,,,44574700.0,ns,378
day1 - part1 - full,,,,,45767900.0,ns,387
day1 - part1 - full,,,,,46628000.0,ns,396
day1 - part1 - full,,,,,47807100.0,ns,405
day1 - part1 - full,,,,,48944300.0,ns,414
day1 - part1 - full,,,,,49823300.0,ns,423
day1 - part1 - full,,,,,51079300.0,ns,432
day1 - part1 - full,,,,,52373700.0,ns,441
day1 - part1 - full,,,,,53176000.0,ns,450
day1 - part1 - full,,,,,54350000.0,ns,459
day1 - part1 - full,,,,,55513700.0,ns,468
day1 - part1 - full,,,,,56851800.0,ns,477
day1 - part1 - full,,,,,57390900.0,ns,486
day1 - part1 - full,,,,,59016900.0,ns,495
day1 - part1 - full,,,,,60039900.0,ns,504
day1 - part1 - full,,,,,61143100.0,ns,513
day1 - part1 - full,,,,,62221200.0,ns,522
day1 - part1 - full,,,,,63525300.0,ns,531
day1 - part1 - full,,,,,63488900.0,ns,540
day1 - part1 - full,,,,,64203900.0,ns,549
day1 - part1 - full,,,,,65423100.0,ns,558
day1 - part1 - full,,,,,66847000.0,ns,567
day1 - part1 - full,,,,,68612600.0,ns,576
day1 - part1 - full,,,,,69111400.0,ns,585
day1 - part1 - full,,,,,69712800.0,ns,594
day1 - part1 - full,,,,,70650200.0,ns,603
day1 - part1 - full,,,,,71954400.0,ns,612
day1 - part1 - full,,,,,73648300.0,ns,621
day1 - part1 - full,,,,,74502400.0,ns,630
day1 - part1 - full,,,,,75571400.0,ns,639
day1 - part1 - full,,,,,76477200.0,ns,648
day1 - part1 - full,,,,,77166800.0,ns,657
day1 - part1 - full,,,,,79133000.0,ns,666
day1 - part1 - full,,,,,80376400.0,ns,675
day1 - part1 - full,,,,,80470100.0,ns,684
day1 - part1 - full,,,,,81268800.0,ns,693
day1 - part1 - full,,,,,82754500.0,ns,702
day1 - part1 - full,,,,,84154200.0,ns,711
day1 - part1 - full,,,,,85106700.0,ns,720
day1 - part1 - full,,,,,86501000.0,ns,729
day1 - part1 - full,,,,,86603800.0,ns,738
day1 - part1 - full,,,,,87539900.0,ns,747
day1 - part1 - full,,,,,89316100.0,ns,756
day1 - part1 - full,,,,,90307100.0,ns,765
day1 - part1 - full,,,,,91020900.0,ns,774
day1 - part1 - full,,,,,91800200.0,ns,783
day1 - part1 - full,,,,,94392300.0,ns,792
day1 - part1 - full,,,,,96531000.0,ns,801
day1 - part1 - full,,,,,96135400.0,ns,810
day1 - part1 - full,,,,,96903200.0,ns,819
day1 - part1 - full,,,,,98595400.0,ns,828
day1 - part1 - full,,,,,99581000.0,ns,837
day1 - part1 - full,,,,,99645800.0,ns,846
day1 - part1 - full,,,,,100627600.0,ns,855
day1 - part1 - full,,,,,101882800.0,ns,864
day1 - part1 - full,,,,,102739700.0,ns,873
day1 - part1 - full,,,,,103747200.0,ns,882
day1 - part1 - full,,,,,104743100.0,ns,891
day1 - part1 - full,,,,,106278600.0,ns,900
