group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day1 - part1 (fold),,,,,964300.0,ns,4639
day1 - part1 (fold),,,,,1949900.0,ns,9278
day1 - part1 (fold),,,,,2934800.0,ns,13917
day1 - part1 (fold),,,,,3893900.0,ns,18556
day1 - part1 (fold),,,,,4982200.0,ns,23195
day1 - part1 (fold),,,,,5833100.0,ns,27834
day1 - part1 (fold),,,,,6923600.0,ns,32473
day1 - part1 (fold),,,,,7859100.0,ns,37112
day1 - part1 (fold),,,,,8884700.0,ns,41751
day1 - part1 (fold),,,,,9745000.0,ns,46390
day1 - part1 (fold),,,,,10841000.0,ns,51029
day1 - part1 (fold),,,,,11832200.0,ns,55668
day1 - part1 (fold),,,,,12752400.0,ns,60307
day1 - part1 (fold),,,,,13792600.0,ns,64946
day1 - part1 (fold),,,,,14772200.0,ns,69585
day1 - part1 (fold),,,,,15843700.0,ns,74224
day1 - part1 (fold),,,,,16785500.0,ns,78863
day1 - part1 (fold),,,,,17873800.0,ns,83502
day1 - part1 (fold),,,,,18806000.0,ns,88141
day1 - part1 (fold),,,,,19742300.0,ns,92780
day1 - part1 (fold),,,,,20568700.0,ns,97419
day1 - part1 (fold),,,,,21735200.0,ns,102058
day1 - part1 (fold),,,,,22709000.0,ns,106697
day1 - part1 (fold),,,,,23689900.0,ns,111336
day1 - part1 (fold),,,,,24464900.0,ns,115975
day1 - part1 (fold),,,,,25724200.0,ns,120614
day1 - part1 (fold),,,,,26704400.0,ns,125253
day1 - part1 (fold),,,,,27584300.0,ns,129892
day1 - part1 (fold),,,,,28408100.0,ns,134531
day1 - part1 (fold),,,,,29638400.0,ns,139170
day1 - part1 (fold),,,,,30428800.0,ns,143809
day1 - part1 (fold),,,,,31487700.0,ns,148448
day1 - part1 (fold),,,,,32559800.0,ns,153087
day1 - part1 (fold),,,,,33418200.0,ns,157726
day1 - part1 (fold),,,,,34374900.0,ns,162365
day1 - part1 (fold),,,,,35594200.0,ns,167004
day1 - part1 (fold),,,,,36298700.0,ns,171643
day1 - part1 (fold),,,,,37271900.0,ns,176282
day1 - part1 (fold),,,,,38279300.0,ns,180921
day1 - part1 (fold),,,,,39323000.0,ns,185560
day1 - part1 (fold),,,,,40389600.0,ns,190199
day1 - part1 (fold),,,,,41253700.0,ns,194838
day1 - part1 (fold),,,,,42364100.0,ns,199477
day1 - part1 (fold),,,,,43395200.0,ns,204116
day1 - part1 (fold),,,,,44205100.0,ns,208755
day1 - part1 (fold),,,,,45214300.0,ns,213394
day1 - part1 (fold),,,,,46207400.0,ns,218033
day1 - part1 (fold),,,,,47236300.0,ns,222672
day1 - part1 (fold),,,,,48188700.0,ns,227311
day1 - part1 (fold),,,,,49068800.0,ns,231950
day1 - part1 (fold),,,,,50203900.0,ns,236589
day1 - part1 (fold),,,,,51138800.0,ns,241228
day1 - part1 (fold),,,,,52480000.0,ns,245867
day1 - part1 (fold),,,,,53296900.0,ns,250506
day1 - part1 (fold),,,,,54286700.0,ns,255145
day1 - part1 (fold),,,,,55189000.0,ns,259784
day1 - part1 (fold),,,,,56207400.0,ns,264423
day1 - part1 (fold),,,,,57071000.0,ns,269062
day1 - part1 (fold),,,,,58113300.0,ns,273701
day1 - part1 (fold),,,,,59206800.0,ns,278340
day1 - part1 (fold),,,,,59798800.0,ns,282979
day1 - part1 (fold),,,,,61072800.0,ns,287618
day1 - part1 (fold),,,,,61924300.0,ns,292257
day1 - part1 (fold),,,,,63008900.0,ns,296896
day1 - part1 (fold),,,,,63805200.0,ns,301535
day1 - part1 (fold),,,,,64883200.0,ns,306174
day1 - part1 (fold),,,,,65694100.0,ns,310813
day1 - part1 (fold),,,,,66970400.0,ns,315452
day1 - part1 (fold),,,,,68063300.0,ns,320091
day1 - part1 (fold),,,,,68953700.0,ns,324730
day1 - part1 (fold),,,,,69601300.0,ns,329369
day1 - part1 (fold),,,,,70866700.0,ns,334008
day1 - part1 (fold),,,,,72150800.0,ns,338647
day1 - part1 (fold),,,,,73197000.0,ns,343286
day1 - part1 (fold),,,,,74100000.0,ns,347925
day1 - part1 (fold),,,,,75027600.0,ns,352564
day1 - part1 (fold),,,,,75579000.0,ns,357203
day1 - part1 (fold),,,,,76581600.0,ns,361842
day1 - part1 (fold),,,,,77670700.0,ns,366481
day1 - part1 (fold),,,,,78912600.0,ns,371120
day1 - part1 (fold),,,,,79525100.0,ns,375759
day1 - part1 (fold),,,,,80690000.0,ns,380398
day1 - part1 (fold),,,,,81743500.0,ns,385037
day1 - part1 (fold),,,,,83432400.0,ns,389676
day1 - part1 (fold),,,,,84394200.0,ns,394315
day1 - part1 (fold),,,,,84790100.0,ns,398954
day1 - part1 (fold),,,,,85587900.0,ns,403593
day1 - part1 (fold),,,,,86647000.0,ns,408232
day1 - part1 (fold),,,,,88135800.0,ns,412871
day1 - part1 (fold),,,,,88712700.0,ns,417510
day1 - part1 (fold),,,,,90259200.0,ns,422149
day1 - part1 (fold),,,,,91400900.0,ns,426788
day1 - part1 (fold),,,,,92173600.0,ns,431427
day1 - part1 (fold),,,,,92997900.0,ns,436066
day1 - part1 (fold),,,,,94130300.0,ns,440705
day1 - part1 (fold),,,,,94918100.0,ns,445344
day1 - part1 (fold),,,,,95706900.0,ns,449983
day1 - part1 (fold),,,,,96459000.0,ns,454622
day1 - part1 (fold),,,,,98423700.0,ns,459261
day1 - part1 (fold),,,,,98587300.0,ns,463900
