group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day1 - part2 (zip),,,,,982500.0,ns,2433
day1 - part2 (zip),,,,,1995200.0,ns,4866
day1 - part2 (zip),,,,,2946400.0,ns,7299
day1 - part2 (zip),,,,,3928400.0,ns,9732
day1 - part2 (zip),,,,,4977800.0,ns,12165
day1 - part2 (zip),,,,,5980100.0,ns,14598
day1 - part2 (zip),,,,,6938300.0,ns,17031
day1 - part2 (zip),,,,,7984400.0,ns,19464
day1 - part2 (zip),,,,,8845400.0,ns,21897
day1 - part2 (zip),,,,,9953200.0,ns,24330
day1 - part2 (zip),,,,,10936800.0,ns,26763
day1 - part2 (zip),,,,,11846400.0,ns,29196
day1 - part2 (zip),,,,,12753000.0,ns,31629
day1 - part2 (zip),,,,,13825900.0,ns,34062
day1 - part2 (zip),,,,,14826700.0,ns,36495
day1 - part2 (zip),,,,,15738500.0,ns,38928
day1 - part2 (zip),,,,,16690000.0,ns,41361
day1 - part2 (zip),,,,,17749900.0,ns,43794
day1 - part2 (zip),,,,,18675300.0,ns,46227
day1 - part2 (zip),,,,,19715900.0,ns,48660
day1 - part2 (zip),,,,,20695900.0,ns,51093
day1 - part2 (zip),,,,,21665100.0,ns,53526
day1 - part2 (zip),,,,,22741000.0,ns,55959
day1 - part2 (zip),,,,,23646300.0,ns,58392
day1 - part2 (zip),,,,,24754900.0,ns,60825
day1 - part2 (zip),,,,,25543900.0,ns,63258
day1 - part2 (zip),,,,,26633700.0,ns,65691
day1 - part2 (zip),,,,,27609700.0,ns,68124
day1 - part2 (zip),,,,,28727100.0,ns,70557
day1 - part2 (zip),,,,,29497400.0,ns,72990
day1 - part2 (zip),,,,,30665400.0,ns,75423
day1 - part2 (zip),,,,,31765600.0,ns,77856
day1 - part2 (zip),,,,,32672100.0,ns,80289
day1 - part2 (zip),,,,,33488000.0,ns,82722
day1 - part2 (zip),,,,,34628700.0,ns,85155
day1 - part2 (zip),,,,,35495700.0,ns,87588
day1 - part2 (zip),,,,,36515200.0,ns,90021
day1 - part2 (zip),,,,,37528100.0,ns,92454
day1 - part2 (zip),,,,,38677000.0,ns,94887
day1 - part2 (zip),,,,,39660800.0,ns,97320
day1 - part2 (zip),,,,,40453300.0,ns,99753
day1 - part2 (zip),,,,,41565000.0,ns,102186
day1 - part2 (zip),,,,,42559300.0,ns,104619
day1 - part2 (zip),,,,,43583700.0,ns,107052
day1 - part2 (zip),,,,,44652900.0,ns,109485
day1 - part2 (zip),,,,,45537100.0,ns,111918
day1 - part2 (zip),,,,,46708900.0,ns,114351
day1 - part2 (zip),,,,,47189900.0,ns,116784
day1 - part2 (zip),,,,,48222700.0,ns,119217
day1 - part2 (zip),,,,,49222600.0,ns,121650
day1 - part2 (zip),,,,,50270600.0,ns,124083
day1 - part2 (zip),,,,,51275700.0,ns,126516
day1 - part2 (zip),,,,,52297700.0,ns,128949
day1 - part2 (zip),,,,,53401400.0,ns,131382
day1 - part2 (zip),,,,,54462200.0,ns,133815
day1 - part2 (zip),,,,,55391000.0,ns,136248
day1 - part2 (zip),,,,,56289800.0,ns,138681
day1 - part2 (zip),,,,,57153500.0,ns,141114
day1 - part2 (zip),,,,,58168400.0,ns,143547
day1 - part2 (zip),,,,,59121900.0,ns,145980
day1 - part2 (zip),,,,,60213500.0,ns,148413
day1 - part2 (zip),,,,,61150700.0,ns,150846
day1 - part2 (zip),,,,,62077200.0,ns,153279
day1 - part2 (zip),,,,,63389300.0,ns,155712
day1 - part2 (zip),,,,,64419900.0,ns,158145
day1 - part2 (zip),,,,,65336600.0,ns,160578
day1 - part2 (zip),,,,,66236700.0,ns,163011
day1 - part2 (zip),,,,,67426700.0,ns,165444
day1 - part2 (zip),,,,,68018200.0,ns,167877
day1 - part2 (zip),,,,,69419000.0,ns,170310
day1 - part2 (zip),,,,,70186800.0,ns,172743
day1 - part2 (zip),,,,,71301100.0,ns,175176
day1 - part2 (zip),,,,,72285200.0,ns,177609
day1 - part2 (zip),,,,,73213500.0,ns,180042
day1 - part2 (zip),,,,,74468300.0,ns,182475
day1 - part2 (zip),,,,,75111100.0,ns,184908
day1 - part2 (zip),,,,,76315600.0,ns,187341
day1 - part2 (zip),,,,,77291000.0,ns,189774
day1 - part2 (zip),,,,,77950800.0,ns,192207
day1 - part2 (zip),,,,,78640800.0,ns,194640
day1 - part2 (zip),,,,,79905300.0,ns,197073
day1 - part2 (zip),,,,,80967600.0,ns,199506
day1 - part2 (zip),,,,,82186100.0,ns,201939
day1 - part2 (zip),,,,,83949600.0,ns,204372
day1 - part2 (zip),,,,,85046100.0,ns,206805
day1 - part2 (zip),,,,,85016600.0,ns,209238
day1 - part2 (zip),,,,,85900700.0,ns,211671
day1 - part2 (zip),,,,,86964400.0,ns,214104
day1 - part2 (zip),,,,,87929800.0,ns,216537
day1 - part2 (zip),,,,,88968400.0,ns,218970
day1 - part2 (zip),,,,,90768400.0,ns,221403
day1 - part2 (zip),,,,,92904500.0,ns,223836
day1 - part2 (zip),,,,,92209600.0,ns,226269
day1 - part2 (zip),,,,,92706300.0,ns,228702
day1 - part2 (zip),,,,,94495300.0,ns,231135
day1 - part2 (zip),,,,,95630100.0,ns,233568
day1 - part2 (zip),,,,,96602300.0,ns,236001
day1 - part2 (zip),,,,,97898300.0,ns,238434
day1 - part2 (zip),,,,,98033500.0,ns,240867
day1 - part2 (zip),,,,,98886600.0,ns,243300
