group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day1 - part2 (for),,,,,955900.0,ns,4947
day1 - part2 (for),,,,,1919300.0,ns,9894
day1 - part2 (for),,,,,2915700.0,ns,14841
day1 - part2 (for),,,,,3894200.0,ns,19788
day1 - part2 (for),,,,,4796300.0,ns,24735
day1 - part2 (for),,,,,5788300.0,ns,29682
day1 - part2 (for),,,,,6818200.0,ns,34629
day1 - part2 (for),,,,,7781700.0,ns,39576
day1 - part2 (for),,,,,8760700.0,ns,44523
day1 - part2 (for),,,,,9690600.0,ns,49470
day1 - part2 (for),,,,,10620300.0,ns,54417
day1 - part2 (for),,,,,11638000.0,ns,59364
day1 - part2 (for),,,,,12608700.0,ns,64311
day1 - part2 (for),,,,,13569100.0,ns,69258
day1 - part2 (for),,,,,14442900.0,ns,74205
day1 - part2 (for),,,,,15485800.0,ns,79152
day1 - part2 (for),,,,,16438100.0,ns,84099
day1 - part2 (for),,,,,17409900.0,ns,89046
day1 - part2 (for),,,,,18391300.0,ns,93993
day1 - part2 (for),,,,,19558100.0,ns,98940
day1 - part2 (for),,,,,20416600.0,ns,103887
day1 - part2 (for),,,,,21351600.0,ns,108834
day1 - part2 (for),,,,,22518700.0,ns,113781
day1 - part2 (for),,,,,23398200.0,ns,118728
day1 - part2 (for),,,,,24269700.0,ns,123675
day1 - part2 (for),,,,,25336000.0,ns,128622
day1 - part2 (for),,,,,26131400.0,ns,133569
day1 - part2 (for),,,,,27007200.0,ns,138516
day1 - part2 (for),,,,,28144200.0,ns,143463
day1 - part2 (for),,,,,29303900.0,ns,148410
day1 - part2 (for),,,,,30244700.0,ns,153357
day1 - part2 (for),,,,,31148000.0,ns,158304
day1 - part2 (for),,,,,32062400.0,ns,163251
day1 - part2 (for),,,,,33153900.0,ns,168198
day1 - part2 (for),,,,,33898300.0,ns,173145
day1 - part2 (for),,,,,34913800.0,ns,178092
day1 - part2 (for),,,,,35913100.0,ns,183039
day1 - part2 (for),,,,,36827200.0,ns,187986
day1 - part2 (for),,,,,37702200.0,ns,192933
day1 - part2 (for),,,,,38770600.0,ns,197880
day1 - part2 (for),,,,,39880900.0,ns,202827
day1 - part2 (for),,,,,40523500.0,ns,207774
day1 - part2 (for),,,,,41710100.0,ns,212721
day1 - part2 (for),,,,,42739300.0,ns,217668
day1 - part2 (for),,,,,43775800.0,ns,222615
day1 - part2 (for),,,,,44742000.0,ns,227562
day1 - part2 (for),,,,,45780700.0,ns,232509
day1 - part2 (for),,,,,46377700.0,ns,237456
day1 - part2 (for),,,,,47358700.0,ns,242403
day1 - part2 (for),,,,,48431900.0,ns,247350
day1 - part2 (for),,,,,49358000.0,ns,252297
day1 - part2 (for),,,,,50234000.0,ns,257244
day1 - part2 (for),,,,,51216900.0,ns,262191
day1 - part2 (for),,,,,52181800.0,ns,267138
day1 - part2 (for),,,,,53269900.0,ns,272085
day1 - part2 (for),,,,,54088400.0,ns,277032
day1 - part2 (for),,,,,55100400.0,ns,281979
day1 - part2 (for),,,,,56004300.0,ns,286926
day1 - part2 (for),,,,,57021600.0,ns,291873
day1 - part2 (for),,,,,58353900.0,ns,296820
day1 - part2 (for),,,,,59503600.0,ns,301767
day1 - part2 (for),,,,,60519900.0,ns,306714
day1 - part2 (for),,,,,61501200.0,ns,311661
day1 - part2 (for),,,,,62310400.0,ns,316608
day1 - part2 (for),,,,,63353700.0,ns,321555
day1 - part2 (for),,,,,63793800.0,ns,326502
day1 - part2 (for),,,,,64853700.0,ns,331449
day1 - part2 (for),,,,,65752500.0,ns,336396
day1 - part2 (for),,,,,66826000.0,ns,341343
day1 - part2 (for),,,,,68113300.0,ns,346290
day1 - part2 (for),,,,,68557200.0,ns,351237
day1 - part2 (for),,,,,69833400.0,ns,356184
day1 - part2 (for),,,,,70581700.0,ns,361131
day1 - part2 (for),,,,,71694800.0,ns,366078
day1 - part2 (for),,,,,72739000.0,ns,371025
day1 - part2 (for),,,,,73585900.0,ns,375972
day1 - part2 (for),,,,,74412600.0,ns,380919
day1 - part2 (for),,,,,75562700.0,ns,385866
day1 - part2 (for),,,,,76567300.0,ns,390813
day1 - part2 (for),,,,,78109700.0,ns,395760
day1 - part2 (for),,,,,79023300.0,ns,400707
day1 - part2 (for),,,,,79766300.0,ns,405654
day1 - part2 (for),,,,,80611600.0,ns,410601
day1 - part2 (for),,,,,81300400.0,ns,415548
day1 - part2 (for),,,,,82257000.0,ns,420495
day1 - part2 (for),,,,,83089600.0,ns,425442
day1 - part2 (for),,,,,84109200.0,ns,430389
day1 - part2 (for),,,,,85342800.0,ns,435336
day1 - part2 (for),,,,,86252400.0,ns,440283
day1 - part2 (for),,,,,87776400.0,ns,445230
day1 - part2 (for),,,,,88657500.0,ns,450177
day1 - part2 (for),,,,,89473500.0,ns,455124
day1 - part2 (for),,,,,90236200.0,ns,460071
day1 - part2 (for),,,,,91178800.0,ns,465018
day1 - part2 (for),,,,,92718600.0,ns,469965
day1 - part2 (for),,,,,93684400.0,ns,474912
day1 - part2 (for),,,,,94899100.0,ns,479859
day1 - part2 (for),,,,,95992700.0,ns,484806
day1 - part2 (for),,,,,96392500.0,ns,489753
day1 - part2 (for),,,,,97102800.0,ns,494700
